               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.083436,            0.034411,            0.023197,           0.0028412,             0.41667,           0.0023658,          0.00034616,            0.081802,            0.026244,            0.021364,               4e-05,               4e-05,             0.09964
                   1,            0.099615,            0.038139,            0.029042,           0.0029825,                0.25,           0.0019943,           0.0004559,            0.080168,            0.025245,            0.021157,          8.9982e-05,          8.9982e-05,             0.09919
                   2,             0.10493,            0.035217,            0.029478,           0.0043492,             0.41667,           0.0033713,          0.00040231,            0.077898,            0.024277,            0.020911,          0.00013989,          0.00013989,             0.09874
                   3,            0.095735,            0.037483,            0.025114,           0.0036462,             0.33333,           0.0027886,          0.00043678,            0.075873,             0.02331,            0.020618,          0.00018966,          0.00018966,             0.09829
                   4,            0.086241,            0.033357,            0.027571,           0.0031573,             0.16667,           0.0027413,          0.00048685,            0.073519,             0.02248,            0.020417,          0.00023924,          0.00023924,            0.097839
                   5,            0.091526,             0.03358,            0.024647,            0.003902,             0.66667,           0.0038923,          0.00072239,            0.071186,            0.021902,            0.020172,          0.00028857,          0.00028857,            0.097389
                   6,             0.11102,            0.034866,            0.031097,            0.010891,             0.41667,           0.0074999,           0.0013168,            0.067793,            0.021183,             0.01987,          0.00033759,          0.00033759,            0.096938
                   7,            0.071075,            0.034069,            0.019766,            0.013763,             0.41667,            0.010744,           0.0023482,            0.064207,            0.020428,            0.019445,          0.00038624,          0.00038624,            0.096486
                   8,            0.084658,            0.033938,            0.023483,            0.013814,                0.25,             0.01476,           0.0020118,            0.060651,            0.019806,            0.019067,          0.00043447,          0.00043447,            0.096034
                   9,            0.070836,            0.037129,            0.026621,            0.018405,             0.41667,            0.018606,            0.003561,            0.057533,            0.019599,            0.018631,          0.00048222,          0.00048222,            0.095582
                  10,            0.055791,            0.032707,            0.021334,            0.022723,             0.41667,            0.024569,           0.0054384,            0.053071,            0.019457,            0.018525,          0.00052943,          0.00052943,            0.095129
                  11,            0.055894,            0.036234,            0.020583,             0.12457,            0.083044,            0.046466,            0.012419,            0.048092,            0.018751,             0.01866,          0.00057605,          0.00057605,            0.094676
                  12,            0.066709,            0.035782,            0.027651,             0.98639,            0.083333,             0.11503,            0.043556,             0.04412,            0.018472,            0.018236,          0.00062202,          0.00062202,            0.094222
                  13,            0.080226,            0.032604,            0.029232,            0.088517,             0.16667,            0.059716,            0.022091,            0.041256,            0.017683,            0.017957,           0.0006673,           0.0006673,            0.093767
                  14,            0.064119,            0.032664,            0.025532,             0.21625,                0.25,             0.20792,            0.078126,            0.040754,            0.017318,            0.017821,          0.00071183,          0.00071183,            0.093312
